#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-13 00:04:04
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-03-13 00:04:04 GET / 142.4.215.39 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/32.0 - birdkernanddalmia.com 200 0 6423
2018-03-13 19:38:36 GET /Scripts/AC_RunActiveContent.js 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 8613
2018-03-13 19:38:43 GET /favicon.ico 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/notify-Notify-AnthemDefault?aHR0cDovL3d3dy5iaXJka2VybmFuZGRhbG1pYS5jb20v;mdzT7J1+MX6WSNmzcywIToKEep3V6FN8TFmSeO+VHQ8= www.birdkernanddalmia.com 404 0 5471
2018-03-13 19:38:47 GET / 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/notify-Notify-AnthemDefault?aHR0cDovL3d3dy5iaXJka2VybmFuZGRhbG1pYS5jb20v;mdzT7J1+MX6WSNmzcywIToKEep3V6FN8TFmSeO+VHQ8= www.birdkernanddalmia.com 200 0 6423
2018-03-13 19:38:47 GET /Images/Home-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 2885
2018-03-13 19:38:47 GET /Images/Therapy-services.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 1492
2018-03-13 19:38:47 GET /Images/Adobe-ID-044ASP365792.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 13230
2018-03-13 19:38:47 GET /cssone.css 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 876
2018-03-13 19:38:47 GET /Images/Pricing-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 1711
2018-03-13 19:38:47 GET /Images/Intake-Forms-Button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 4049
2018-03-13 19:38:47 GET /Images/Therapist-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 3556
2018-03-13 19:38:47 GET /Images/Vision-Button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 2957
2018-03-13 19:38:47 GET /Images/Cool-Ideas-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 3605
2018-03-13 19:38:47 GET /Images/News-Button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 2706
2018-03-13 19:38:47 GET /Images/Equipment-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 3786
2018-03-13 19:38:47 GET /Images/Links-Button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 2773
2018-03-13 19:38:47 GET /images/bottombar.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 1851
2018-03-13 19:38:47 GET /Images/contact-us-button.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 3759
2018-03-13 19:38:48 GET /images/NewAddressAnimation.gif 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 1453307
2018-03-13 19:38:52 GET /Images/Therapy-services-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1659
2018-03-13 19:38:52 GET /Images/Pricing-button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1931
2018-03-13 19:38:52 GET /Images/Cool-Ideas-button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3744
2018-03-13 19:38:52 GET /Images/Intake-Forms-Button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 4229
2018-03-13 19:38:52 GET /Images/Vision-Button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3058
2018-03-13 19:38:52 GET /Images/Home-button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2962
2018-03-13 19:38:52 GET /Images/Links-Button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2851
2018-03-13 19:38:52 GET /Images/Equipment-button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3936
2018-03-13 19:38:52 GET /Images/Therapsits-button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3705
2018-03-13 19:38:52 GET /Images/Contact-Us-Button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3901
2018-03-13 19:38:52 GET /Images/News-Button-MO.jpg 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2778
2018-03-13 19:39:01 GET /jakarta/isapi_redirect.dll 199.116.173.196 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 - www.birdkernanddalmia.com 200 0 9005
2018-03-13 19:39:01 GET /jakarta/isapi_redirect.dll 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 9005
2018-03-13 19:39:01 GET /images/therapyservicesbackground.jpeg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 25858
2018-03-13 19:39:04 GET /therapists.html 199.116.173.196 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 - www.birdkernanddalmia.com 200 0 7299
2018-03-13 19:39:04 GET /therapists.html 162.95.148.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.186+Safari/537.36 http://www.birdkernanddalmia.com/therapyservices.cfm www.birdkernanddalmia.com 200 0 7299
2018-03-13 19:39:04 GET /Images/therapists-page-backgrounds2.jpg 162.95.148.250 HTTP/1.1 Mozilla/4.0+(compatible;) - www.birdkernanddalmia.com 200 0 11484
2018-03-13 19:39:43 GET / 199.116.169.254 HTTP/1.1 BUFF+library+user+agent - www.birdkernanddalmia.com 200 0 6423
2018-03-13 19:39:53 GET /notify-Notify-AnthemDefault 199.116.169.254 HTTP/1.1 BUFF+library+user+agent - www.birdkernanddalmia.com 404 0 5503
2018-03-13 19:39:53 GET /accepted-Notify-AnthemDefault 199.116.169.254 HTTP/1.1 BUFF+library+user+agent - www.birdkernanddalmia.com 404 0 5507
2018-03-13 19:39:53 GET /verify-Notify-AnthemDefault 199.116.169.254 HTTP/1.1 BUFF+library+user+agent - www.birdkernanddalmia.com 404 0 5503
