#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-20 00:10:23
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-10-20 02:23:58 GET /Images/Pricing-button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1931
2017-10-20 02:23:58 GET /Images/Intake-Forms-Button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 4229
2017-10-20 02:23:58 GET /Images/Cool-Ideas-button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3744
2017-10-20 02:23:58 GET /favicon.ico 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 404 0 5471
2017-10-20 02:23:58 GET /Images/Links-Button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2851
2017-10-20 02:23:58 GET /Images/News-Button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2778
2017-10-20 02:23:58 GET /Images/Equipment-button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3936
2017-10-20 02:23:58 GET /Images/Therapsits-button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3705
2017-10-20 02:23:58 GET /Images/Contact-Us-Button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3901
2017-10-20 02:24:07 GET /therapists.html 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 7299
2017-10-20 02:24:07 GET /Images/therapists-page-backgrounds2.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 11484
2017-10-20 02:24:15 GET /lindsayMitchell.html 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 7344
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-20 02:45:34
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
